icao,lat,lon,alt,country,name,location
SDND,-22.48521,-51.53159,1411,BR,Fazenda Nova Damasco,Pirapozinho
SDNE,-22.19778,-51.97625,1585,BR,Fazenda Sao Joaquim,Mirante do Paranapanema
SDNG,-13.1044,-56.95387,1197,BR,Fazenda Sao Gabriel,Arenapolis
SDNH,-21.49609,-49.23865,1526,BR,Novo Horizonte,Novo Horizonte
SDNI,-23.6174,-46.98558,3090,BR,Nascimento I,Vargem Grande Paulista
SDNJ,-24.07792,-48.22745,2604,BR,Nascimento Ii,Capao Bonito
SDNK,-14.96483,-54.05502,2513,BR,Fazenda Vitoria,Poxoreo
SDNL,-21.75537,-48.58974,1877,BR,Fazenda Sao Francisco Do Itaquere,Tabatinga
SDNO,-22.69382,-48.58084,2395,BR,Sao Manuel,Sao Manuel
SDNQ,-9.97099,-67.49118,640,BR,Fazenda Agua Limpa,Senador Guiomard
SDNT,-15.67895,-47.77377,3563,BR,Aerorancho,Brasilia
SDNV,-9.50786,-54.01278,1001,BR,Aldeia Nacepoti,Alta Floresta
SDNW,-10.78724,-53.07705,1148,BR,Aldeia Piaracu,Sinop
SDNY,-22.74527,-43.46615,164,BR,Aeroclube Nova Iguacu,Nova Iguacu
SDNZ,-17.84944,-54.76836,1640,BR,Fazenda Alto Do Piquiri,Coxim
SDOA,-5.48806,-45.49218,591,BR,Lagoa Da Floresta,Barra do Corda
SDOB,-21.4235,-46.76008,2585,BR,Fazenda Sao Jose Ob,Guaxupe
SDOD,-5.84007,-45.54556,820,BR,Fazenda Vida,Barra do Corda
SDOE,-5.72352,-45.79476,741,BR,Fazenda Siberia,Grajau
SDOI,-23.30061,-47.69408,2051,BR,Centro Nacional De Para-Quedismo,Boituva
SDOL,-20.75027,-48.9132,1722,BR,Olimpia,Olimpia
SDOQ,-12.67388,-51.74945,1165,BR,Fazenda Campo Claro,Sao Miguel do Araguaia
